ID,class
368,republican
15,republican
94,democrat
107,democrat
285,democrat
53,democrat
138,republican
265,democrat
419,democrat
226,democrat
359,democrat
353,democrat
162,republican
40,democrat
81,republican
427,republican
320,democrat
193,democrat
91,democrat
200,republican
44,democrat
299,republican
119,democrat
411,republican
334,republican
2,democrat
117,democrat
404,republican
346,republican
150,democrat
82,republican
259,democrat
8,republican
46,democrat
160,democrat
227,republican
272,democrat
358,democrat
319,democrat
71,democrat
268,republican
428,democrat
312,democrat
254,democrat
124,republican
177,republican
409,democrat
96,democrat
176,democrat
332,republican
13,republican
98,democrat
417,democrat
360,democrat
166,republican
394,democrat
399,democrat
431,republican
28,democrat
288,democrat
154,republican
95,democrat
352,democrat
309,democrat
25,democrat
328,democrat
228,democrat
212,democrat
159,democrat
256,democrat
386,democrat
323,democrat
433,democrat
337,republican
223,republican
418,democrat
374,democrat
412,republican
414,republican
376,democrat
271,democrat
213,democrat
122,republican
245,democrat
277,democrat
390,republican
185,democrat
392,republican
398,democrat
123,republican
348,republican
49,democrat
31,republican
326,democrat
136,democrat
327,republican
295,democrat
58,democrat
261,democrat
188,republican
389,democrat
142,democrat
222,democrat
111,republican
235,democrat
380,republican
357,democrat
234,republican
6,democrat
156,republican
179,republican
384,democrat
303,democrat
137,republican
140,democrat
370,democrat
132,democrat
217,republican
52,republican
248,republican
361,democrat
300,democrat
362,democrat
229,republican
146,democrat
400,republican
47,democrat
26,democrat
203,democrat
296,democrat
247,republican
65,democrat
51,democrat
201,democrat
216,democrat
37,democrat
395,republican
237,democrat
330,republican
100,democrat
61,democrat
196,republican
410,democrat
331,republican
127,democrat
365,republican
373,democrat
305,republican
413,republican
434,democrat
302,democrat
192,republican
1,democrat
336,democrat
36,democrat
293,republican
167,democrat
143,republican
88,republican
144,republican
371,republican
316,democrat
425,republican
7,democrat
99,democrat
181,democrat
157,republican
199,democrat
278,democrat
423,democrat
283,democrat
396,republican
170,democrat
344,republican
173,republican
269,republican
22,democrat
34,republican
130,republican
403,democrat
335,republican
264,republican
282,republican
35,democrat
115,democrat
406,democrat
219,democrat
105,democrat
207,democrat
197,republican
84,democrat
243,republican
38,republican
329,democrat
97,republican
43,republican
155,democrat
172,democrat
354,republican
286,democrat
318,democrat
294,democrat
257,democrat
16,republican
175,republican
347,democrat
77,democrat
225,republican
236,democrat
325,republican
141,democrat
356,democrat
408,democrat
187,democrat
377,republican
54,republican
103,republican
