ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,TARGET_D,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
9401,ESN,1,UT,84115, , ,2212,0, , , , ,XXXX,U4,10,75,E,H, , , , ,,2,M,1,17,0,0,6,0,0,0,0,2,1,2,2,0,0,0,3,0,25,41,18,3,1,2, , , ,1, , , , , , , , , , , , , , , , , , , , ,X,1356,283,647,99,0,0,53,47,89,1,1,4,9,0,0,1,0,0,0,0,7,0,0,2,28,35,39,32,40,45,25,47,34,19,21,27,20,10,8,7,6,20,19,33,13,15,17,9,16,47,27,26,17,8,2,39,24,6,30,112,207,48,46,5,51,46,40,1,0,1,397,434,3,3,27,73,83,17,0,25,44,30,16,65,35,9,2,6,38,23,10,18,59,13,0,1,0,1,1,1,2,20,1,19,12,38,38,11,5,13,38,0,23,10,39,0,1,3,39,83,7160,291,770,167,228,225,270,10260,46,21,13,8,10,1,0,0,0,36,20,16,14,12,2,0,0,0,20,12,18,20,65,35,24,79,10,2,2,0,0,1,5,2,0,4,15,17,1,53,73,86,59,79,53,65,41,77,99,6,6,11,5,6,9,0,0,19,2,17,7,10,7,1,3,10,15,8,2,11,19,4,7,0,3,9,4,2,2,3,1,2,4,83,7,0,120,10,29,24,29,4,2,2,3,26,1,18,10,0,0,0,13,25,1,41,12,18,15,1,16,0,6,0,0,2,3,0,0,1,0,0,4,0,7,57,87,8,3,2,90,38,11,1,26,0,0,0,0,7,93,0,0,61,0,38,0,0,1,99,0,99,99,86,5,1,4,5,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,,,9409,9407,9406,L3G,S3G,S3G,S3G,S3G,S2F,S2F,S3F,S3F,S3F,S3F,A1F,A1F,S2F,S3F,S3F,S3F,N3E, , ,N3E,N3E,N2E,17,9702,38,6,13,,,,,,,,,9511,,,9506,,,9506,,,,,9409,,,,,,,,,,,25,,,20,,,20,,,,,15,,,105,7,3,5,9310,25,9511,25,9511,9310,9403,5,15,134464,0,1,L,3,G,X,X,X,45,B
9501,ARB,1,MI,48118, , ,3101,0, , , , ,XXXX,T2,40,67,E,H, , , , ,,4,M,8,11,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0,26,23,38,9,6,2, , , ,, ,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y, ,3, ,683,202,267,0,0,99,50,50,93,5,1,1,3,0,0,0,0,0,0,0,1,0,0,1,36,41,43,36,44,46,22,37,38,26,10,23,27,16,10,9,4,17,12,33,22,16,18,4,17,19,41,40,22,7,3,66,8,4,22,177,255,96,95,0,0,0,0,0,0,0,799,879,4,3,84,16,70,30,92,33,76,66,28,86,14,5,2,3,15,13,6,17,63,13,0,2,2,2,9,29,55,85,0,4,45,54,54,14,3,0,0,3,14,0,0,2,18,42,64,76,440,57,505,458,505,497,548,20586,11,16,12,21,25,11,1,1,4,6,13,9,20,32,12,2,1,4,26,3,57,3,37,63,2,81,16,0,0,0,0,0,1,2,1,24,34,36,7,85,68,76,60,74,58,75,63,99,99,2,14,10,5,12,15,0,3,6,3,17,8,2,3,4,0,6,30,4,0,4,13,1,6,2,1,7,16,3,5,9,6,2,6,65,10,1,127,4,12,29,25,6,13,9,2,18,2,13,5,0,0,0,14,26,1,23,15,38,10,1,5,0,13,0,0,5,1,0,2,0,0,0,0,1,1,78,97,1,0,2,98,80,36,9,28,3,11,20,43,57,43,0,0,5,38,11,34,0,11,4,96,2,99,99,7,3,5,6,9706,9606,9604,,9603,9602,9601,9511,9510,9511,9509,9507,9506,,9503,9502,9501,,,9409,9408,,,L1F,A1F,A1F, ,A1F,N2F,N2F,N2F,N1E,N1E,N1E,N1E,N1E, ,F1E,F1E,F1E, , ,P1E,P1E, , ,10,9702,25,4,10,,,,,,,,,,,9507,,,,,,,,,9410,,,,,,,,,,,,,20,,,,,,,,,10,,,30,2,2,10,9410,20,9507,20,9507,9410,9507,9,15,66152,0,1,L,1,F,X,X,X,15,A
8601,GRI,0,NC,28278, , ,2601,0, , , , ,XXXX,T1,34,72,E,H, , , , ,3,6,F,,0,,,,,,,,,,,,,,,2,0,41,46,6,7,0,0, , , ,9,02, , , , , , , , , , , , , , , , , , , ,X,486,155,217,0,0,99,52,48,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,42,43,39,44,46,15,35,44,21,7,23,25,21,17,6,2,9,20,37,21,13,13,4,11,23,46,31,14,2,0,69,10,4,17,159,224,61,58,0,36,36,35,0,0,0,1413,1758,7,5,84,16,82,18,38,22,71,66,20,84,16,2,0,2,20,12,6,12,73,13,0,1,0,23,42,83,95,99,13,0,49,56,58,13,3,7,29,3,6,1,7,1,65,65,71,81,1520,279,517,651,675,671,709,30189,9,4,14,9,24,27,2,3,8,11,0,9,8,30,25,3,4,10,14,6,38,2,58,42,31,88,6,5,5,0,0,0,0,0,4,6,19,24,2,79,81,86,76,84,74,85,68,0,0,0,10,5,3,34,13,0,4,8,0,16,2,3,2,0,0,1,14,8,5,13,25,8,1,3,2,10,3,3,4,7,0,0,3,83,7,0,140,2,6,18,27,19,21,7,4,15,2,10,6,0,0,0,21,41,0,46,19,6,0,1,4,4,3,0,0,12,5,1,2,0,0,0,0,0,5,49,96,2,0,3,99,83,29,3,8,17,46,52,80,90,10,17,11,0,11,81,8,0,0,46,54,46,99,99,9,2,8,6,9706,9606,9604,,9603,9602,9601,9511,,9510,9508,,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,,L1F,L2F,L2F, ,L2F,L2F,L2F,L2F, ,L2F,L2F, ,A1F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,S2F,A1F, ,31,9702,75,5,15,,,,,9603,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,155,12,8,5,8901,20,9102,20,9603,8703,8801,10,12.916666667,19821,0,0,L,1,F,X,X,X,14,B
8801,DUR,0,CA,92404, , ,4001,0, , , , ,XXXX,S2,18,58,E,H, , , , ,,2,F,3,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,45,44,26,14,1,6, , , ,3, , , , , , ,Y, , , , , , , , , , , , ,2, ,1973,519,620,99,0,0,47,53,64,19,1,7,19,0,2,0,2,0,2,0,17,0,0,2,28,39,43,30,42,45,35,35,39,26,14,22,23,18,13,7,2,14,15,30,24,17,14,3,11,14,26,60,38,19,9,56,14,3,26,245,315,67,66,0,32,32,5,0,0,0,989,1015,5,5,65,35,87,13,0,50,84,61,33,91,9,17,2,15,9,13,3,15,40,8,8,11,0,1,1,48,96,99,0,3,47,53,53,17,5,29,3,0,11,19,5,0,29,83,96,97,6780,13,803,335,323,359,357,11107,24,11,18,26,13,8,0,0,0,27,11,17,23,13,10,0,0,0,24,22,33,25,50,50,12,77,17,1,1,0,0,0,1,4,0,15,17,24,8,53,70,77,64,73,57,51,38,27,99,32,12,6,3,12,21,0,0,16,1,15,5,5,3,0,0,8,11,8,4,5,25,5,2,2,1,11,5,7,6,14,1,6,9,68,2,0,120,6,14,32,29,10,7,1,4,31,1,26,8,4,4,4,21,45,1,44,38,26,5,0,6,1,5,0,0,2,4,0,0,0,0,1,0,0,13,51,76,14,10,0,89,68,26,5,26,0,0,3,17,71,29,0,0,90,0,9,0,0,1,99,0,99,99,96,8,1,8,6,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9501,9411,9411,9410,9409,9407,9406,L1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, ,A1F,L2F,L2F,A1F,A1F,A1F,A1F,A1F,A1F,28,9702,66,6,13,,,,,,,9512,,,,,,,,,,9412,,,,,,,,,,,,20,,,,,,,,,,18,,,,,,118,8,3,10,9105,20,9512,20,9512,8810,9005,19,14.75,155369,0,1,L,1,F,X,X,X,22,A
9601,L23,1,IL,62002, , ,3201,0, , , , ,XXXX,C2,28,66,E,H, , , , ,1,4,M,1,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,52,22,69,6,0,0, , , ,, , ,Y, ,Y, ,Y, , , , , , , , , , , , ,2, ,445,137,196,99,0,0,47,53,99,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,39,46,49,41,49,52,19,50,30,20,9,20,17,11,16,17,9,21,19,24,21,15,34,12,33,29,38,33,15,6,2,63,10,9,17,155,227,93,93,1,5,4,0,0,0,0,399,400,3,3,83,17,95,5,0,23,70,58,17,85,15,6,2,5,14,22,1,17,52,30,0,0,0,0,0,0,3,16,0,0,23,45,50,13,4,5,0,0,11,5,0,0,6,6,30,61,7040,75,609,217,272,316,417,15406,31,22,21,12,6,0,4,0,3,10,26,31,10,10,0,7,0,6,44,2,59,11,24,76,0,84,11,0,0,0,0,0,6,0,20,5,16,19,0,62,45,49,42,44,39,62,31,0,99,31,21,8,0,15,19,0,0,10,0,23,4,0,0,0,0,8,21,4,0,4,24,4,10,0,0,14,6,5,0,6,0,0,5,80,9,0,120,8,23,32,20,3,12,2,5,10,4,11,0,0,0,0,20,52,0,22,0,69,9,0,3,2,20,3,0,6,0,0,0,0,0,0,0,0,0,76,91,0,0,9,94,45,14,16,40,0,0,0,0,3,97,0,0,88,0,3,8,0,0,99,0,99,99,97,5,2,6,16,9706,9606,9604,,9603,9602,9512,,,9509,9508,,,,,,,,,,,,,L1G,F1G,F1G, ,F1G,F1G,F1G, , ,P1G,P1G, , , , , , , , , , , , ,7,9702,16,5,11,,,,,,,,,,9509,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,25,1,1,25,9509,25,9509,25,9509,9509,,,25,97300,0,1,L,1,G,X,X,X,49,A
9401,DEL,4002,TN,37405, , ,3901,0, , , , ,XXXX,T2,38,59,I,U, , , , ,,4,M,8,0,,,,,,,,,,,,,,,3,0,25,35,30,1,4,1, , , ,7, , , , , , , , , , , , , , , , , , , , , ,1417,291,544,99,0,0,48,52,93,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,44,47,40,48,50,20,32,34,34,8,24,17,14,12,13,12,14,14,25,28,19,36,18,34,41,34,25,13,5,1,42,19,12,27,126,203,50,48,5,47,42,39,22,20,2,407,492,5,4,42,58,88,12,1,22,53,43,16,57,43,6,1,5,19,32,5,15,55,23,0,6,0,0,3,8,14,34,0,1,26,45,48,11,4,22,26,2,11,7,37,1,52,62,70,82,1560,199,575,241,284,320,370,15464,30,23,16,16,10,1,2,2,0,16,28,19,16,15,0,5,2,0,26,5,40,14,53,47,17,67,16,0,0,0,0,0,13,3,5,4,14,18,1,48,49,60,40,59,38,60,54,23,0,27,24,24,3,4,11,0,3,9,2,13,4,0,3,0,1,4,21,1,0,3,7,18,3,1,3,12,17,7,3,6,4,1,5,62,21,0,120,22,14,18,13,3,19,11,4,20,1,14,9,0,0,0,13,27,0,23,20,37,13,1,5,3,7,0,0,11,2,0,1,0,0,0,0,0,1,65,95,1,0,4,95,39,7,7,23,0,0,0,0,26,74,0,0,17,3,72,5,0,1,99,0,89,99,98,5,1,7,5,9706,9606,9604,9604,9603,9602,9601,9511,9510,9509,9508,9507,9506,9504,9503,,9501,9411,9411,9410,9409,9407,9406,L1G,A1G,A1G,A1G,A1G,L2G,L2G,L2G,A1G,A1G,A1G,A1G,A1G,A1G,A1G, ,A1G,N1G,N1G,N1G,N1G,N1G,F1G,17,9702,39,6,13,,,,,,,,9512,,,,,,,,,,,,,9408,,,,,,,,,100,,,,,,,,,,,,,100,,250,3,2,50,9310,100,9408,100,9512,9310,9408,10,83.333333333,173764,0,0,L,1,G,X,X,X,32,B
8601,MBC,1002,AR,72851, , ,0,0, , , , ,XXXX,R3,51,, , , , , , ,,,M,,0,,,,,,,,,,,,,,, ,0,32,26,38,4,6,7, , , ,6, , , , , , , , , , , , , , , , , , , , ,X,510,163,206,0,0,99,50,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,52,55,41,50,54,22,38,37,25,11,14,15,13,22,17,9,15,14,34,18,19,36,11,33,19,42,39,18,7,3,71,8,6,14,173,248,70,70,0,0,0,0,0,0,0,371,438,2,1,88,12,74,26,54,30,79,71,26,90,10,4,1,3,13,12,1,17,54,28,0,0,0,0,0,5,13,35,0,4,25,45,48,14,4,0,0,29,7,0,0,4,0,0,6,19,0,325,670,204,240,236,273,9264,37,25,14,19,5,1,1,0,0,24,27,17,24,6,1,1,0,0,39,5,40,20,36,65,8,74,12,0,0,0,0,0,2,11,2,55,26,32,12,75,56,64,49,61,45,72,44,67,99,9,2,9,2,10,10,0,2,16,11,14,11,8,4,11,1,2,29,6,1,2,12,4,7,0,2,4,6,4,8,5,6,7,12,66,4,1,120,20,27,38,9,2,3,1,0,22,0,19,4,0,0,0,16,32,0,26,33,39,0,0,7,1,15,0,0,7,0,0,0,0,0,0,0,0,0,74,99,0,0,1,94,69,32,9,18,0,9,32,60,77,23,0,0,12,29,19,0,0,40,12,87,1,96,90,3,2,8,10,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,L2E,S2E,S2E,S2E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S3E,S4E,S4E,S2E,S2E,S2E,S2E,S2E,S2E,A1E,A1D,33,9702,77,6,13,,,,,,,,,,,,,,9505,,,9501,9412,,,,,,,,,,,,,,,,,,10,,,10,10,,,,,165,22,11,3,8705,10,9404,10,9512,8608,8702,6,7.5,112468,0,0,L,2,E,X,X,X,59,D
9301,OMH,2,GA,30534, , ,0,0, , , , ,XXXX,R2,49,, , , , , , ,,,F,,0,,,,,,,,,,,,,,, ,0,27,27,31,6,3,2, , , ,3, , , , , , , , , , , , , , , , , , , , , ,1494,439,546,0,0,99,51,49,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,39,41,33,42,45,27,41,36,23,13,26,24,15,11,8,4,15,16,31,20,18,17,6,16,16,35,49,27,10,3,68,10,5,17,197,273,73,72,2,3,1,0,0,0,0,759,842,3,2,84,16,90,10,45,42,80,69,35,90,10,7,2,5,10,13,3,23,65,12,0,0,0,3,8,28,51,74,0,2,43,52,54,15,5,3,0,24,11,2,0,3,5,16,37,59,0,197,524,311,319,331,351,12069,21,16,26,16,18,2,1,0,0,18,13,26,20,19,2,2,0,0,13,5,24,13,45,55,5,80,17,0,0,0,0,0,0,3,0,70,24,33,16,53,75,85,65,82,60,64,72,67,0,2,6,10,3,9,13,1,0,9,5,24,11,2,8,7,0,17,22,1,6,2,14,5,4,5,1,5,3,5,3,3,4,1,14,75,3,0,120,10,22,37,10,9,8,4,0,23,3,18,3,0,0,0,16,30,2,35,15,19,20,2,5,1,9,0,0,12,0,0,0,0,0,0,0,0,0,84,97,2,0,1,96,77,37,6,10,11,30,59,83,89,11,0,0,0,59,17,8,0,16,26,70,2,99,94,7,2,4,3,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,,,9503,,,9411,,9410,9409,,,L2F,A2F,A2F,A2F,A2F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, , ,L1F, , ,L1F, ,L1F,L1F, , ,14,9702,34,6,13,,,,,,,9512,,,,,,,9504,,,,,,,,,,,,,,,20,,,,,,,20,,,,,,,,,60,3,0,20,9512,20,9303,20,9512,9303,9504,25,20,29050,0,1,L,2,F,X,X,X,44,D
9601,YKA,28,TX,79536, , ,5601,0, , , , ,XXXX,R2,45,42,I, , , , , ,,,F,,0,,,,,,,,,,,,,,, ,1,32,42,30,8,4,2, , , ,, , , , , , , , , , , , , , , , , , , ,1, ,5107,1429,1918,19,0,81,48,52,92,2,0,0,10,0,0,0,0,0,0,0,9,0,0,1,33,43,46,36,47,50,29,35,41,24,11,21,21,15,12,11,10,12,16,32,24,16,28,14,27,24,31,45,27,11,4,64,9,9,17,183,263,71,70,2,9,6,4,1,1,0,395,466,2,2,75,25,86,14,3,41,75,63,33,88,12,8,1,7,11,18,1,21,53,18,1,1,0,0,1,4,16,37,0,2,39,50,52,14,4,8,1,18,14,4,4,3,6,11,30,51,40,441,662,234,290,273,308,10074,35,17,17,17,12,2,1,0,0,27,17,20,19,15,2,0,0,0,33,6,34,22,41,59,9,78,15,0,0,0,0,0,4,4,0,4,18,20,3,57,66,76,57,71,54,68,56,76,99,6,9,11,2,14,18,1,1,11,3,13,6,6,3,4,3,5,14,5,4,4,24,7,5,3,0,4,11,4,4,8,5,2,9,68,5,3,120,12,18,30,23,4,9,4,3,25,2,24,3,2,4,1,16,32,2,42,15,28,8,0,3,1,8,0,0,8,1,0,0,0,0,1,0,0,2,74,90,8,0,1,98,63,21,8,21,1,7,22,53,62,38,0,0,52,18,25,0,0,4,92,8,66,99,92,9,2,7,4,9706,9606,9604,,9603,9602,9601,,,9509,9508,,,,,,,,,,,,,L1F,N1F,N1F, ,F1F,F1F,F1F, , ,P1F,P1F, , , , , , , , , , , , ,5,9702,13,3,8,,,,,,,,,,9509,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,15,1,1,15,9509,15,9509,15,9509,9509,,,15,128287,0,1,L,1,F,X,X,X,58,C
9501,VIK,1,CA,92562, , ,0,0, , , , ,XXXX,U2,07,, , , , , , ,,,M,,0,,,,,,,,,,,,,,, ,3,31,42,25,8,2,2, , , ,, , , , , , , , , , , , , , , , , , , , , ,13415,3823,4542,0,6,94,51,49,90,1,0,4,13,0,0,0,2,0,0,0,11,0,0,2,30,36,38,31,41,43,30,49,37,14,10,34,23,12,11,8,3,22,20,34,16,9,14,2,12,11,38,51,33,13,5,75,7,3,15,208,293,77,75,0,15,15,15,1,1,0,1834,2192,7,6,83,17,69,31,5,46,84,77,41,90,10,5,2,3,11,7,5,25,55,11,0,1,0,37,82,99,99,99,11,1,64,62,60,15,3,2,13,7,8,1,6,2,84,88,91,93,6780,577,804,457,476,514,539,18401,9,10,13,24,27,9,4,2,2,7,9,12,24,29,10,4,2,3,17,3,42,4,90,10,13,77,17,0,0,0,0,0,2,4,0,45,34,43,31,47,67,79,54,75,51,55,48,78,96,3,14,16,4,18,15,0,3,7,1,14,3,4,2,3,0,14,14,5,4,5,15,11,5,2,2,6,6,5,4,8,2,2,12,74,2,1,140,2,10,23,30,10,20,5,3,23,2,18,5,1,3,0,17,32,1,40,17,29,10,1,4,1,9,0,0,5,2,1,1,0,1,1,1,0,9,52,85,8,2,4,98,76,22,1,2,56,86,91,98,99,1,1,1,78,9,12,0,0,2,92,8,84,99,99,10,3,6,5,9706,9606,9604,,9603,9602,9512,9511,9510,9510,9509,,9506,,,,,,,,,,,L1G,N1G,N1G, ,N1G,F1G,F1G,F1G,F1G,F1G,F1G, ,P1G, , , , , , , , , , ,7,9702,18,4,10,,,,,,,,,,,,9506,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,25,1,1,25,9506,25,9506,25,9506,9506,,,25,158425,0,0,L,1,G,X,X,X,15,A
