CONTROLN,TARGET_D
1171,128.0
176468,64.0
60752,128.0
126337,64.0
17820,128.0
134279,128.0
159385,128.0
81523,64.0
93441,128.0
38373,64.0
188443,128.0
140920,64.0
185912,64.0
161403,64.0
119447,128.0
83395,128.0
16166,64.0
123943,64.0
69302,64.0
42420,128.0
48947,64.0
155569,128.0
189367,64.0
136366,64.0
150601,128.0
56186,128.0
25533,64.0
147232,64.0
72050,64.0
163892,128.0
97255,128.0
188668,64.0
154568,64.0
179873,64.0
114314,128.0
72002,128.0
163131,64.0
73101,128.0
112249,128.0
29777,64.0
138953,128.0
121664,128.0
65159,64.0
159171,128.0
110955,128.0
25110,128.0
65363,64.0
25084,64.0
64811,128.0
174297,64.0
189827,128.0
126040,64.0
127604,128.0
99258,64.0
27294,128.0
71056,128.0
108004,64.0
42054,64.0
157251,64.0
13151,64.0
135344,64.0
107376,128.0
179927,64.0
50338,128.0
143185,128.0
117341,128.0
85438,64.0
117102,64.0
111397,64.0
77080,128.0
87117,128.0
120023,64.0
63731,128.0
165086,128.0
72281,64.0
121885,64.0
21403,128.0
102639,128.0
86777,64.0
34996,128.0
136791,128.0
34236,64.0
105631,64.0
146382,128.0
64717,128.0
9928,64.0
70161,64.0
187592,64.0
95024,128.0
67463,64.0
76028,64.0
190322,128.0
26235,128.0
152574,128.0
55712,64.0
97767,64.0
31959,64.0
17526,128.0
119626,64.0
171286,64.0
20167,64.0
106362,64.0
78851,128.0
83856,64.0
12919,128.0
189824,128.0
4783,128.0
26936,64.0
22626,128.0
187638,64.0
165420,64.0
11508,128.0
181700,64.0
31389,64.0
41083,128.0
158627,128.0
98193,64.0
5432,128.0
74968,128.0
81795,128.0
134628,64.0
124843,64.0
191291,64.0
21654,128.0
123392,64.0
128239,128.0
74588,64.0
103913,64.0
124344,64.0
18923,128.0
46288,64.0
96036,64.0
27174,64.0
100414,128.0
100356,128.0
8716,64.0
110538,128.0
141925,64.0
52315,128.0
54645,128.0
190920,64.0
132894,128.0
73985,64.0
114751,128.0
16867,64.0
137256,128.0
186534,64.0
156996,64.0
164146,64.0
35270,128.0
158396,128.0
48267,128.0
106979,64.0
79420,64.0
60336,64.0
71680,128.0
107186,64.0
17503,128.0
111622,64.0
11873,64.0
150411,64.0
124443,64.0
109693,64.0
83462,64.0
68681,64.0
85202,64.0
77734,128.0
126451,128.0
79705,128.0
2153,64.0
76994,64.0
19129,128.0
172908,128.0
92685,128.0
2583,128.0
139336,128.0
16171,64.0
100208,128.0
145537,64.0
106412,64.0
73321,128.0
60515,64.0
17791,64.0
170824,128.0
130789,128.0
160067,64.0
168297,128.0
90003,128.0
133683,64.0
90818,128.0
45565,128.0
28480,128.0
171488,128.0
141403,64.0
1330,64.0
152939,64.0
174945,128.0
91789,128.0
89783,128.0
165038,64.0
1164,64.0
18966,128.0
24434,64.0
5626,192.0
92362,64.0
177834,64.0
107514,128.0
113711,128.0
50884,128.0
111476,64.0
13066,128.0
189352,128.0
65776,64.0
72982,128.0
39556,64.0
38911,128.0
87911,64.0
91621,128.0
34135,64.0
60632,64.0
173658,64.0
64570,64.0
151685,64.0
170078,128.0
68866,128.0
53869,64.0
163435,64.0
76689,128.0
115016,128.0
65524,128.0
128041,128.0
173408,64.0
144673,128.0
76893,64.0
152470,128.0
72378,64.0
140507,128.0
134183,128.0
143577,64.0
173001,128.0
95729,128.0
26690,64.0
27872,128.0
137784,64.0
15581,128.0
144616,64.0
70,128.0
175071,64.0
186271,128.0
74313,64.0
114034,64.0
55621,128.0
126464,64.0
77025,64.0
13808,64.0
142313,128.0
79097,64.0
63714,128.0
4729,128.0
65787,128.0
81793,64.0
87360,64.0
38586,64.0
6107,128.0
24784,128.0
42300,64.0
186623,128.0
79532,64.0
18952,128.0
64467,128.0
101492,64.0
87813,64.0
149009,64.0
135268,64.0
95285,64.0
11124,128.0
160239,64.0
12225,128.0
29019,128.0
16160,128.0
84854,128.0
9640,64.0
113684,64.0
43968,128.0
94057,128.0
23813,64.0
111974,128.0
50562,128.0
149982,128.0
432,128.0
136581,128.0
58712,64.0
13099,64.0
143303,128.0
166434,128.0
93953,64.0
51986,128.0
185436,128.0
66831,64.0
45063,64.0
33455,128.0
106510,64.0
32174,64.0
67808,128.0
118151,128.0
111236,64.0
167419,64.0
72574,128.0
2453,64.0
174765,64.0
7133,128.0
91390,64.0
78444,128.0
85172,128.0
85478,64.0
74371,64.0
131326,128.0
69781,64.0
115805,64.0
77920,128.0
132445,128.0
73267,128.0
41504,64.0
112594,64.0
9515,128.0
142552,64.0
22760,128.0
153055,64.0
123887,64.0
80726,64.0
93780,64.0
87645,64.0
69289,64.0
138169,64.0
153971,128.0
161311,128.0
60046,64.0
114808,64.0
33414,128.0
67720,64.0
158392,128.0
33976,128.0
132804,64.0
101710,64.0
87819,64.0
1489,64.0
73240,128.0
141554,64.0
185638,128.0
167855,128.0
71456,128.0
179207,128.0
136483,64.0
24216,64.0
13965,64.0
130920,64.0
92644,64.0
111414,64.0
83960,128.0
147015,128.0
116376,128.0
98341,128.0
103405,128.0
116829,64.0
149708,64.0
160709,128.0
173904,64.0
186936,128.0
152904,128.0
107188,128.0
122782,64.0
147414,128.0
38767,64.0
75632,64.0
129470,64.0
133101,64.0
75625,64.0
26616,64.0
9131,128.0
123514,128.0
127016,64.0
41176,64.0
34862,128.0
51452,128.0
117949,64.0
164986,64.0
57871,64.0
142903,64.0
