CONTROLN,TARGET_D
1171,6.11
176468,5.15
60752,5.1
126337,5.07
17820,4.75
134279,7.76
159385,5.65
81523,5.45
93441,4.81
38373,5.05
188443,8.01
140920,4.5
185912,3.75
161403,6.76
119447,5.81
83395,5.77
16166,5.01
123943,4.9
69302,4.85
42420,5.93
48947,5.01
155569,4.7
189367,21.15
136366,4.6
150601,4.8
56186,5.26
25533,6.1
147232,4.1
72050,4.9
163892,4.2
97255,5.1
188668,5.14
154568,5.21
179873,4.95
114314,6.66
72002,4.5
163131,4.35
73101,5.4
112249,5.15
29777,4.12
138953,5.4
121664,6.82
65159,4.2
159171,4.45
110955,5.1
25110,4.51
65363,4.3
25084,4.0
64811,4.6
174297,4.71
189827,5.17
126040,8.65
127604,5.0
99258,5.57
27294,4.58
71056,6.38
108004,5.05
42054,4.4
157251,5.63
13151,5.07
135344,5.48
107376,8.25
179927,6.17
50338,4.3
143185,7.85
117341,3.71
85438,6.4
117102,3.9
111397,5.01
77080,5.05
87117,5.3
120023,5.3
63731,5.0
165086,4.25
72281,4.8
121885,5.65
21403,4.86
102639,5.1
86777,5.5
34996,5.93
136791,3.47
34236,3.95
105631,4.3
146382,4.3
64717,4.15
9928,4.87
70161,4.12
187592,6.03
95024,3.7
67463,3.22
76028,6.09
190322,10.48
26235,6.9
152574,5.09
55712,6.0
97767,5.52
31959,4.32
17526,4.58
119626,3.75
171286,4.94
20167,5.4
106362,4.96
78851,4.3
83856,5.21
12919,5.25
189824,5.71
4783,5.95
26936,4.7
22626,6.09
187638,7.01
165420,6.0
11508,5.01
181700,4.64
31389,4.1
41083,6.15
158627,4.45
98193,4.8
5432,4.21
74968,4.66
81795,3.76
134628,4.1
124843,6.37
191291,4.55
21654,6.1
123392,5.17
128239,5.87
74588,6.4
103913,6.75
124344,4.3
18923,4.2
46288,4.97
96036,4.3
27174,4.21
100414,4.1
100356,4.85
8716,5.16
110538,8.47
141925,5.14
52315,4.45
54645,4.6
190920,4.4
132894,6.42
73985,6.94
114751,5.5
16867,4.6
137256,12.15
186534,5.89
156996,3.99
164146,5.45
35270,6.6
158396,5.15
48267,5.58
106979,4.3
79420,5.55
60336,4.26
71680,4.3
107186,5.07
17503,4.68
111622,4.3
11873,9.05
150411,4.11
124443,5.5
109693,5.56
83462,4.57
68681,7.39
85202,4.15
77734,4.7
126451,5.72
79705,4.45
2153,4.8
76994,6.15
19129,5.6
172908,6.45
92685,4.6
2583,5.14
139336,4.42
16171,5.45
100208,4.52
145537,5.18
106412,5.35
73321,4.58
60515,5.1
17791,4.95
170824,5.45
130789,4.4
160067,4.46
168297,4.8
90003,4.45
133683,4.29
90818,3.3
45565,4.8
28480,6.28
171488,4.99
141403,4.6
1330,6.51
152939,4.86
174945,5.31
91789,5.5
89783,4.75
165038,5.1
1164,5.41
18966,5.82
24434,4.6
5626,5.92
92362,4.23
177834,6.78
107514,5.2
113711,6.5
50884,5.18
111476,4.91
13066,5.5
189352,9.34
65776,5.71
72982,6.15
39556,4.75
38911,5.28
87911,7.93
91621,4.55
34135,5.68
60632,4.6
173658,5.5
64570,4.51
151685,4.51
170078,8.37
68866,7.03
53869,5.74
163435,7.52
76689,4.5
115016,7.15
65524,3.5
128041,6.15
173408,5.2
144673,5.34
76893,4.51
152470,4.05
72378,4.25
140507,5.8
134183,5.76
143577,4.05
173001,7.0
95729,6.22
26690,4.24
27872,4.7
137784,5.99
15581,5.85
144616,5.2
70,7.01
175071,4.55
186271,4.92
74313,5.2
114034,5.68
55621,5.78
126464,5.5
77025,3.74
13808,3.9
142313,6.12
79097,4.93
63714,5.25
4729,8.26
65787,4.5
81793,4.05
87360,6.43
38586,6.4
6107,5.07
24784,5.25
42300,5.05
186623,6.32
79532,4.7
18952,4.8
64467,4.98
101492,5.15
87813,8.36
149009,5.16
135268,5.71
95285,5.1
11124,5.55
160239,5.6
12225,5.46
29019,5.7
16160,5.0
84854,6.89
9640,4.6
113684,4.82
43968,5.21
94057,10.35
23813,5.22
111974,5.75
50562,6.04
149982,4.05
432,4.5
136581,5.32
58712,5.2
13099,6.4
143303,4.61
166434,5.05
93953,5.36
51986,5.58
185436,5.63
66831,4.1
45063,4.6
33455,5.06
106510,4.95
32174,4.9
67808,4.52
118151,5.15
111236,6.0
167419,4.35
72574,5.04
2453,6.26
174765,4.97
7133,5.22
91390,4.99
78444,5.31
85172,5.56
85478,5.78
74371,5.2
131326,6.38
69781,4.1
115805,4.11
77920,4.6
132445,7.54
73267,5.4
41504,4.7
112594,4.31
9515,6.34
142552,4.56
22760,5.15
153055,5.26
123887,5.3
80726,5.16
93780,3.23
87645,6.05
69289,5.41
138169,5.15
153971,4.7
161311,6.29
60046,4.65
114808,5.55
33414,6.04
67720,4.08
158392,5.65
33976,5.0
132804,5.22
